Titulo,Endereço,Area,Preço
"  Apartamento com 3 Quartos à Venda, 101m²  ","Rua Francisco Pessoa, 695 - Vila Andrade, São Paulo - SP", 101 ,   R$ 750.000   
  Is Liberdade  ,"Rua Conselheiro Furtado, 130 - Liberdade, São Paulo - SP", 21-36 ,    Sob Consulta   
"  Apartamento com  Quarto à Venda, 48m²  ","Rua Major Quedinho, 224 - Centro, São Paulo - SP", 48 ,   R$ 600.000   
"  Apartamento com 2 Quartos à Venda, 57m²  ","Rua Cônego Vicente Miguel Marino, 183 - Barra Funda, São Paulo - SP", 57 ,   R$ 490.000   
"  Apartamento com 2 Quartos à Venda, 97m²  ","Rua Itambé, 440 - Higienópolis, São Paulo - SP", 97 ,   R$ 980.000   
"  Apartamento com 3 Quartos à Venda, 107m²  ","Rua Paris, 241 - Sumaré, São Paulo - SP", 107 ,   R$ 850.000   
"  Apartamento com  Quarto à Venda, 93m²  ","Rua Marechal Hermes da Fonseca, 600 - Santana, São Paulo - SP", 93 ,   R$ 900.000   
"  Apartamento com  Quarto à Venda, 84m²  ","Rua Turiassu, 507 - Perdizes, São Paulo - SP", 84 ,   R$ 1.060.000   
  Go Liberdade  ,"Rua Conde de Sarzedas, 277 - Liberdade, São Paulo - SP", 37 ,   R$ 227.500   
"  Apartamento com 3 Quartos à Venda, 160m²  ","Rua André Dreyfus, 109 - Sumaré, São Paulo - SP", 160 ,   R$ 1.300.000   
"  Apartamento com 2 Quartos à Venda, 70m²  ","Rua Cipriano Barata, 790 - Ipiranga, São Paulo - SP", 70 ,   R$ 565.000   
"  Apartamento com 3 Quartos à Venda, 93m²  ","Rua Cônego Vicente Miguel Marino, 175 - Barra Funda, São Paulo - SP", 93 ,   R$ 600.000   
"  Apartamento com 6 Quartos à Venda, 290m²  ","Alameda Tietê, 325 - Jardim Paulista, São Paulo - SP", 290 ,   R$ 3.000.000   
"  Apartamento com 2 Quartos à Venda, 80m²  ","Avenida Nove de Julho, 1050 - Bela Vista, São Paulo - SP", 80 ,   R$ 539.000   
"  Apartamento com 2 Quartos à Venda, 55m²  ","Rua Carolina Fonseca, 315 - Vila Santana, São Paulo - SP", 55 ,   R$ 220.000   
  Today Brigadeiro  ,"Rua Asdrúbal do Nascimento, 174 - Bela Vista, São Paulo - SP", 28-36 ,   R$ 211.094   
"  Apartamento com 2 Quartos à Venda, 57m²  ","Avenida Miguel Estefno - Saúde, São Paulo - SP", 57 ,   R$ 430.000   
"  Apartamento com 2 Quartos à Venda, 56m²  ","Avenida São Miguel, 1453 - Vila Marieta, São Paulo - SP", 56 ,   R$ 235.000   
"  Apartamento com 2 Quartos à Venda, 50m²  ","Rua Pedro de Castillo, 1012 - Protendit, São Paulo - SP", 50 ,   R$ 240.000   
"  Apartamento com 2 Quartos à Venda, 73m²  ","Rua Deputado Laércio Corte, Número 390 - Paraíso do Morumbi, São Paulo - SP", 73 ,   R$ 395.000   
"  Apartamento com 2 Quartos à Venda, 74m²  ","Rua Casa do Ator, 90 - Vila Olímpia, São Paulo - SP", 74 ,   R$ 1.600.000   
"  Apartamento com 3 Quartos à Venda, 128m²  ","Rua Maria Figueiredo, 343 - Paraíso, São Paulo - SP", 128 ,   R$ 1.300.000   
"  Apartamento com 3 Quartos à Venda, 93m²  ","Rua Icaraí, 222 - Tatuapé, São Paulo - SP", 93 ,   R$ 620.000   
"  Apartamento com 3 Quartos à Venda, 73m²  ","Rua Fernando Sanabria, 229 - Jardim Umuarama, São Paulo - SP", 73 ,   R$ 270.000   
"  Apartamento com 2 Quartos à Venda, 60m²  ","Rua Joaquim Neves Monteiro, 152 - Jardim Santa Cruz (Campo Grande), São Paulo - SP", 60 ,   R$ 329.000   
"  Apartamento com 2 Quartos à Venda, 79m²  ","Avenida Mofarrej, 346 - Vila Leopoldina, São Paulo - SP", 79 ,   R$ 699.000   
"  Apartamento com 2 Quartos à Venda, 70m²  ","Alameda Gabriel Monteiro da Silva, 77 - Jardim América, São Paulo - SP", 70 ,   R$ 1.305.200   
"  Apartamento com 3 Quartos à Venda, 62m²  ","Estrada Velha da Penha, 265 - Tatuapé, São Paulo - SP", 62 ,   R$ 319.000   
"  Apartamento com 2 Quartos à Venda, 56m²  ","Avenida Kenkiti Simomoto, 728 - Jaguaré, São Paulo - SP", 56 ,   R$ 370.000   
"  Apartamento com 3 Quartos à Venda, 125m²  ","Rua Joel Jorge de Melo, 600 - Vila Mariana, São Paulo - SP", 125 ,   R$ 1.620.000   
"  Apartamento com 3 Quartos à Venda, 75m²  ","Parque Mandaqui, São Paulo - SP", 75 ,   R$ 519.000   
"  Apartamento com 2 Quartos à Venda, 69m²  ","Avenida Raimundo Pereira de Magalhães, 909 - Vila Anastácio, São Paulo - SP", 69 ,   R$ 600.000   
"  Apartamento com 3 Quartos à Venda, 103m²  ","Alameda Casa Branca, 805 - Jardim Paulista, São Paulo - SP", 103 ,   R$ 1.580.000   
"  Apartamento com 2 Quartos à Venda, 87m²  ","Rua Borba Gato, 331 - Santo Amaro, São Paulo - SP", 87 ,   R$ 715.000   
"  Apartamento com 2 Quartos à Venda, 80m²  ","Rua França Pinto, 1255 - Vila Mariana, São Paulo - SP", 80 ,   R$ 720.000   
"  Apartamento com 3 Quartos à Venda, 86m²  ","Rua Assungui, 721 - Vila Gumercindo, São Paulo - SP", 86 ,   R$ 875.000   
